id,company,title,category,location,salary_range,source_type,source_url,careers_url,date_found,entry_level_fit,description,status
13,Berkshire Hathaway Specialty Insurance,"Underwriting Technician, Transactional Liability",underwriting,"Boston, MA",not posted,direct,https://www.bhspecialty.com/career_category/boston/,https://www.bhspecialty.com/career-jobs/,2026-07-03,good,Underwriting Technician is BHSI's entry rung; supports transactional liability underwriters at Boston HQ.,not_applied
19,HUB International New England,Account Coordinator / CS support (underwriting services),operations,"Boston area / Wilmington, MA",not posted,direct,https://careers.hubinternational.com/us/en/c/account-management-jobs,https://careers.hubinternational.com/us/en/c/account-management-jobs,2026-07-03,good,"Entry account-management roles spanning claims, client oversight and underwriting services support.",not_applied
11,Liberty Mutual,Associate Surety Underwriter - Surety Underwriting Development Program,program,Multiple locations (confirm Boston),"$47,000-$123,000 band",direct,https://jobs.libertymutualgroup.com,https://jobs.libertymutualgroup.com,2026-07-03,good,"15-month development program: structured mentoring, rotations across product lines. 2026 starts June/July.",not_applied
12,Liberty Mutual,Underwriting Internship Program - Commercial Lines (Summer 2026),program,"Boston, MA",$24.50-$26.50/hr,direct,https://jobs.libertymutualgroup.com/careers/campus/undergraduate-internships/underwriting/,https://jobs.libertymutualgroup.com,2026-07-03,good,Paid summer internship; common feeder into the full-time UDP.,not_applied
20,Plymouth Rock Assurance,"Underwriting dept openings (e.g., QA Analyst, Home Underwriting; entry claims classes)",underwriting,"Boston, MA",not posted (UW median ~$88K at PR),direct,https://www.plymouthrock.com/about/careers,https://www.plymouthrock.com/about/careers,2026-07-03,good,~34 Boston openings; recruits energetic entry-level candidates into claims and underwriting support. Check careers page for current underwriting-support reqs.,not_applied
7,The Hanover Insurance Group,Marine Underwriting Associate,underwriting,"Worcester, MA",not posted,direct,https://careers.hanover.com,https://careers.hanover.com,2026-07-03,good,Underwriting associate supporting marine line; appears periodically at Worcester HQ.,not_applied
16,The Travelers Companies,Underwriting Professional Development Program - Commercial Accounts (Feb 2026 cohort; watch for next),program,Various (confirm MA office),"$59,200-$97,700",aggregator-verified,https://careers.travelers.com/job-search-results/,https://careers.travelers.com/job-search-results/,2026-07-03,good,"Classic new-grad underwriting track; first-year structured training in underwriting philosophy, negotiation, relationship building. Multiple 2026 cohorts (Feb/June); verify MA placement.",not_applied
3,Arbella Insurance Group,Commercial Lines Associate Underwriter,underwriting,"Quincy, MA",not posted,direct,https://www.arbella.com/current-openings,https://www.arbella.com/current-openings,2026-07-03,strong,Handles requests from agents/internal customers; assists underwriters with more sophisticated underwriting functions. Also on LinkedIn.,not_applied
4,Arbella Insurance Group,Commercial Lines Operations Associate,operations,"Quincy, MA",not posted,direct,https://www.arbella.com/current-openings,https://www.arbella.com/current-openings,2026-07-03,strong,Timely/accurate processing of commercial policy transactions within a single line of business.,not_applied
18,Cross Insurance,Commercial Lines Assistant,operations,"Beverly, MA",not posted,direct,https://www.crossagency.com/careers/,https://www.crossagency.com/careers/,2026-07-03,strong,"Agency-side entry role supporting commercial account managers; prioritization, detail, problem-solving. 2nd largest broker in MA.",not_applied
