id,name,company_type,ma_locations,careers_url,notes
14,A.I.M. Mutual,Workers' compensation carrier,Burlington (HQ),https://www.aimmutual.com/careers,"MA workers' comp specialist; small shop, jobs rarely hit aggregators."
2,Arbella Insurance Group,P&C carrier (New England only),Quincy (HQ),https://www.arbella.com/current-openings,MA-based mutual. ~28-39 open roles in Quincy. In-person interview at Quincy HQ required before any offer. Known for promoting from within.
7,Berkshire Hathaway Specialty Insurance,Commercial/specialty carrier,Boston (HQ),https://www.bhspecialty.com/career-jobs/,HQ in Boston; lists all jobs on its own site by region (bhspecialty.com/career_category/boston/). Underwriting Technician roles are the entry path.
11,Boston Mutual Life Insurance,Life insurer,Canton (HQ),https://www.bostonmutual.com/about-us/employment-opportunities/,"Small MA life insurer (~9 openings at last check); jobs on own site, lightly syndicated."
13,Coverys,Medical professional liability carrier,Boston (HQ),https://www.coverys.com/careers,Boston-based med-mal insurer; underwriting assistant/analyst roles post on own site.
17,Cross Insurance,Broker/agency (2nd largest in MA),"Beverly, Boston + statewide branches",https://www.crossagency.com/careers/,"1,200+ employees; posts openings on Workday via own careers page. Commercial Lines Assistant is the entry path on the agency side."
18,HUB International New England,Broker/agency,"Wilmington, Boston + branches",https://careers.hubinternational.com/us/en/c/account-management-jobs,Large broker; account coordinator / customer service roles are entry doors into underwriting-adjacent work.
19,John Hancock,Life insurer (Manulife),Boston (Seaport),https://careers.manulife.com,Life underwriting + operations roles post under Manulife/John Hancock careers; check Boston-filtered search.
6,Liberty Mutual,P&C carrier (global),"Boston (HQ, Back Bay)",https://jobs.libertymutualgroup.com,"Structured early-career underwriting programs (Underwriting Development Program, Surety UDP, campus internships). Best pipeline for new grads."
4,MAPFRE Insurance,P&C carrier (largest MA auto insurer),Webster (HQ),https://www.mapfreinsurance.com/careers/,US arm of Spanish insurer; #1 private auto insurer in MA. Talent team: talentacquisition@mapfreusa.com. ~27-41 open US roles.
10,MassMutual,Life insurer,"Springfield (HQ), Boston (Seaport)",https://careers.massmutual.com/search-jobs,~71 Springfield openings incl. Operations Associate roles; life/disability underwriting support jobs appear regularly.
15,Norfolk & Dedham Group,P&C carrier (mutual),Dedham (HQ),https://www.ndgroup.com,MA mutual; check Careers page directly - postings rarely syndicated.
5,Plymouth Rock Assurance,P&C carrier,Boston (Seaport/Financial District),https://www.plymouthrock.com/about/careers,~34 open Boston roles. Hires entry-level classes into claims and underwriting support; check Home Underwriting Dept postings.
8,Quincy Mutual Group,P&C carrier (mutual),Quincy,https://www.quincymutual.com/open-positions.htm,Small MA mutual; jobs posted on a plain HTML page rarely syndicated to aggregators - exactly the hidden-market type. Underwriting Account/Client Specialist ladder is the entry path.
12,SBLI (Savings Bank Mutual Life),Life insurer,Woburn (HQ),https://www.sbli.com/about-us/careers,Small MA life insurer (~4 openings); life underwriting operations roles appear here first.
1,Safety Insurance,P&C carrier (MA-focused),Boston (Financial District),https://www.safetyinsurance.com/careers/job_postings.html,"One of the largest MA private-passenger auto insurers. 37.5-hour workweek, hybrid options, 3 weeks PTO + 14 holidays. Posts jobs only on its own site and a few boards."
20,Sun Life U.S.,Group benefits insurer,Wellesley (US HQ),https://sunlife.wd3.myworkdayjobs.com/Experienced-Jobs,Group benefits underwriting associate roles appear for Wellesley; also remote-eligible ops roles.
16,The Andover Companies,P&C carrier (mutual),Andover (HQ),https://www.andovercompanies.com/careers,Merrimack Mutual group. Known internship-to-hire pipeline; watch for underwriting trainee roles.
3,The Hanover Insurance Group,P&C carrier (national),Worcester (HQ),https://careers.hanover.com,"Fortune 500, HQ in Worcester. Runs Workday portal (hanover.wd5.myworkdayjobs.com). Regularly hires associate underwriters and underwriting associates."
9,The Travelers Companies,P&C carrier (national),Boston + MA field offices,https://careers.travelers.com/job-search-results/,Underwriting Professional Development Program (UPDP) is a classic new-grad underwriting track; multiple 2026 cohorts. Confirm MA placement per posting.
